,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Has_Score,Has_Rating,Age,Grouped_Publisher
25,Samurai Warriors: Xtreme Legends,PS2,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45,72.0,17.0,86.0,13.0,T,True,True,17.0,Moyen
26,Ninja Gaiden 3,PS3,Action,Tecmo Koei,0.19,0.09,0.11,0.05,0.43,58.0,43.0,50.0,152.0,M,True,True,9.0,Moyen
27,Hyperdimension Neptunia,PS3,Role-Playing,Tecmo Koei,0.22,0.09,0.07,0.04,0.43,45.0,31.0,70.0,148.0,T,True,True,11.0,Moyen
28,Samurai Warriors Chronicles,3DS,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39,61.0,30.0,77.0,35.0,T,True,True,10.0,Moyen
29,Monster Rancher 3,PS2,Simulation,Tecmo Koei,0.11,0.09,0.14,0.03,0.36,77.0,13.0,85.0,23.0,E,True,True,20.0,Moyen
30,Toukiden: The Age of Demons,PSV,Action,Tecmo Koei,0.04,0.04,0.25,0.02,0.35,71.0,44.0,80.0,136.0,T,True,True,8.0,Moyen
31,Dynasty Warriors 5 Empires,PS2,Action,Tecmo Koei,0.11,0.09,0.12,0.03,0.34,62.0,23.0,91.0,24.0,T,True,True,15.0,Moyen
32,Monster Rancher 4,PS2,Simulation,Tecmo Koei,0.08,0.06,0.19,0.02,0.34,77.0,21.0,91.0,18.0,E,True,True,18.0,Moyen
33,Dynasty Warriors 6 Empires,PS3,Action,Tecmo Koei,0.14,0.03,0.15,0.02,0.34,62.0,22.0,70.0,26.0,T,True,True,12.0,Moyen
34,Disgaea 2: Cursed Memories,PS2,Role-Playing,Tecmo Koei,0.09,0.07,0.15,0.02,0.33,84.0,54.0,64.0,42.0,T,True,True,15.0,Moyen
35,Disgaea: Hour of Darkness,PS2,Role-Playing,Tecmo Koei,0.16,0.13,0.0,0.04,0.33,84.0,42.0,89.0,74.0,T,True,True,18.0,Moyen
36,Romance of the Three Kingdoms VII,PS2,Strategy,Tecmo Koei,0.08,0.06,0.16,0.02,0.32,72.0,10.0,87.0,11.0,E,True,True,21.0,Moyen
37,Dynasty Warriors 4 Empires,PS2,Action,Tecmo Koei,0.0,0.0,0.32,0.0,0.32,71.0,29.0,88.0,19.0,T,True,True,17.0,Moyen
38,Romance of the Three Kingdoms VIII,PS2,Strategy,Tecmo Koei,0.05,0.04,0.19,0.01,0.3,77.0,14.0,89.0,17.0,E,True,True,19.0,Moyen
39,Dynasty Warriors 6,X360,Action,Tecmo Koei,0.15,0.06,0.06,0.02,0.3,60.0,42.0,74.0,22.0,T,True,True,14.0,Moyen
40,Fist of the North Star: Kens Rage 2,PS3,Fighting,Tecmo Koei,0.0,0.0,0.3,0.0,0.3,49.0,19.0,70.0,19.0,M,True,True,9.0,Moyen
41,Dynasty Warriors: Strikeforce,PS3,Action,Tecmo Koei,0.11,0.07,0.07,0.03,0.29,64.0,27.0,73.0,15.0,T,True,True,12.0,Moyen
42,Dynasty Tactics,PS2,Strategy,Tecmo Koei,0.06,0.05,0.16,0.02,0.29,79.0,14.0,81.0,31.0,T,True,True,19.0,Moyen
43,Warriors Orochi 2,PSP,Action,Tecmo Koei,0.06,0.0,0.22,0.01,0.29,56.0,14.0,75.0,4.0,T,True,True,13.0,Moyen
44,Bladestorm: The Hundred Years War,PS3,Action,Tecmo Koei,0.1,0.03,0.14,0.02,0.28,58.0,23.0,79.0,28.0,T,True,True,14.0,Moyen
45,Dynasty Warriors 7: Xtreme Legends,PS3,Action,Tecmo Koei,0.04,0.04,0.16,0.02,0.26,64.0,11.0,78.0,10.0,T,True,True,10.0,Moyen
46,Atelier Ayesha: The Alchemist of Dusk,PS3,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26,70.0,17.0,66.0,120.0,T,True,True,9.0,Moyen
47,Dead or Alive Xtreme 2,X360,Sports,Tecmo Koei,0.15,0.02,0.06,0.02,0.25,53.0,46.0,67.0,42.0,M,True,True,15.0,Moyen
48,Dynasty Warriors 6,PS2,Action,Tecmo Koei,0.12,0.09,0.0,0.03,0.25,43.0,7.0,55.0,15.0,T,True,True,13.0,Moyen
49,Ninja Gaiden 3,X360,Action,Tecmo Koei,0.16,0.05,0.03,0.02,0.25,58.0,39.0,44.0,136.0,M,True,True,9.0,Moyen
50,Samurai Warriors 4,PS4,Action,Tecmo Koei,0.08,0.07,0.06,0.03,0.24,76.0,31.0,81.0,76.0,T,True,True,7.0,Moyen
51,Dynasty Warriors Next,PSV,Action,Tecmo Koei,0.05,0.06,0.11,0.02,0.24,67.0,35.0,75.0,73.0,T,True,True,10.0,Moyen
52,Dynasty Warriors 7,X360,Action,Tecmo Koei,0.16,0.06,0.0,0.02,0.24,58.0,22.0,80.0,46.0,T,True,True,10.0,Moyen
53,Dynasty Warriors 6 Empires,X360,Action,Tecmo Koei,0.16,0.01,0.04,0.02,0.24,59.0,24.0,73.0,28.0,T,True,True,12.0,Moyen
54,Ar tonelico Qoga: Knell of Ar Ciel,PS3,Role-Playing,Tecmo Koei,0.08,0.01,0.13,0.01,0.24,61.0,27.0,54.0,101.0,M,True,True,11.0,Moyen
55,Toukiden Kiwami,PSV,Action,Tecmo Koei,0.02,0.02,0.18,0.01,0.23,82.0,5.0,86.0,42.0,T,True,True,7.0,Moyen
56,Dynasty Warriors: Gundam Reborn,PS3,Action,Tecmo Koei,0.0,0.0,0.23,0.0,0.23,64.0,35.0,75.0,25.0,T,True,True,8.0,Moyen
57,Disgaea: Afternoon of Darkness,PSP,Role-Playing,Tecmo Koei,0.15,0.01,0.04,0.02,0.23,87.0,37.0,82.0,69.0,T,True,True,15.0,Moyen
58,Dynasty Warriors: Strikeforce,X360,Action,Tecmo Koei,0.13,0.06,0.02,0.02,0.23,59.0,18.0,57.0,12.0,T,True,True,12.0,Moyen
59,Ninja Gaiden: Dragon Sword,DS,Action,Tecmo Koei,0.16,0.01,0.02,0.02,0.21,83.0,52.0,78.0,36.0,T,True,True,13.0,Moyen
60,Warriors Orochi,PSP,Action,Tecmo Koei,0.02,0.0,0.18,0.0,0.2,62.0,13.0,66.0,10.0,T,True,True,13.0,Moyen
61,Dynasty Warriors 8: Empires,PS4,Action,Tecmo Koei,0.07,0.07,0.03,0.03,0.2,63.0,30.0,73.0,45.0,T,True,True,7.0,Moyen
62,Warriors Orochi,X360,Action,Tecmo Koei,0.17,0.01,0.0,0.02,0.2,53.0,27.0,74.0,13.0,T,True,True,14.0,Moyen
63,Quantum Theory,PS3,Shooter,Tecmo Koei,0.05,0.09,0.02,0.03,0.19,43.0,34.0,53.0,21.0,M,True,True,11.0,Moyen
64,Atelier Shallie: Alchemists of the Dusk Sea,PS3,Role-Playing,Tecmo Koei,0.06,0.03,0.08,0.02,0.19,76.0,26.0,78.0,45.0,E10+,True,True,7.0,Moyen
65,Nostalgia,DS,Role-Playing,Tecmo Koei,0.16,0.0,0.02,0.01,0.19,72.0,36.0,76.0,20.0,E10+,True,True,13.0,Moyen
66,Samurai Warriors 2: Empires,PS2,Action,Tecmo Koei,0.0,0.0,0.19,0.0,0.19,55.0,20.0,73.0,7.0,T,True,True,15.0,Moyen
67,Warriors: Legends of Troy,PS3,Action,Tecmo Koei,0.06,0.04,0.07,0.02,0.19,44.0,22.0,70.0,24.0,M,True,True,10.0,Moyen
68,La Pucelle: Tactics,PS2,Role-Playing,Tecmo Koei,0.09,0.07,0.0,0.02,0.19,79.0,47.0,85.0,15.0,T,True,True,19.0,Moyen
69,Samurai Warriors: State of War,PSP,Action,Tecmo Koei,0.07,0.0,0.11,0.01,0.18,64.0,30.0,64.0,8.0,T,True,True,16.0,Moyen
70,Toukiden Kiwami,PS4,Action,Tecmo Koei,0.06,0.07,0.02,0.03,0.18,74.0,35.0,76.0,74.0,T,True,True,6.0,Moyen
71,Bladestorm: Nightmare,PS4,Action,Tecmo Koei,0.08,0.04,0.03,0.03,0.18,58.0,33.0,65.0,21.0,T,True,True,6.0,Moyen
72,Dynasty Warriors: Gundam 3,X360,Action,Tecmo Koei,0.11,0.03,0.02,0.01,0.18,65.0,27.0,78.0,20.0,T,True,True,11.0,Moyen
73,Gallop Racer 2001,PS2,Sports,Tecmo Koei,0.05,0.04,0.06,0.01,0.17,71.0,11.0,91.0,56.0,E,True,True,20.0,Moyen
74,Ar Nosurge: Ode to an Unborn Star,PS3,Role-Playing,Tecmo Koei,0.05,0.03,0.06,0.02,0.16,67.0,23.0,79.0,50.0,T,True,True,7.0,Moyen
75,Dynasty Warriors 4,X,Action,Tecmo Koei,0.12,0.03,0.0,0.01,0.16,75.0,18.0,88.0,18.0,T,True,True,18.0,Moyen
76,Dynasty Warriors 8: Xtreme Legends,PS3,Action,Tecmo Koei,0.02,0.02,0.11,0.01,0.16,68.0,4.0,68.0,9.0,T,True,True,8.0,Moyen
77,Atelier Iris: Eternal Mana,PS2,Role-Playing,Tecmo Koei,0.08,0.06,0.0,0.02,0.15,74.0,38.0,77.0,38.0,T,True,True,17.0,Moyen
78,Dynasty Warriors 8,X360,Action,Tecmo Koei,0.09,0.05,0.0,0.01,0.15,65.0,21.0,75.0,35.0,T,True,True,8.0,Moyen
79,Samurai Warriors: Katana,Wii,Action,Tecmo Koei,0.11,0.0,0.04,0.01,0.15,53.0,30.0,68.0,6.0,T,True,True,14.0,Moyen
80,Phantom Brave,PS2,Role-Playing,Tecmo Koei,0.07,0.05,0.0,0.02,0.14,81.0,40.0,79.0,22.0,T,True,True,17.0,Moyen
81,Fatal Inertia,X360,Racing,Tecmo Koei,0.12,0.0,0.0,0.01,0.13,61.0,30.0,42.0,19.0,E10+,True,True,14.0,Moyen
82,Deception IV: Blood Ties,PSV,Action,Tecmo Koei,0.02,0.02,0.07,0.01,0.13,67.0,19.0,75.0,61.0,M,True,True,7.0,Moyen
83,Warriors Orochi 2,PS2,Action,Tecmo Koei,0.06,0.05,0.0,0.02,0.13,52.0,9.0,85.0,14.0,T,True,True,13.0,Moyen
84,Dynasty Warriors 5 Empires,X360,Action,Tecmo Koei,0.11,0.01,0.0,0.01,0.13,61.0,40.0,82.0,19.0,T,True,True,15.0,Moyen
85,Samurai Warriors 4-II,PS4,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,73.0,26.0,74.0,25.0,T,True,True,6.0,Moyen
86,Makai Kingdom: Chronicles of the Sacred Tome,PS2,Role-Playing,Tecmo Koei,0.06,0.05,0.0,0.02,0.12,77.0,41.0,73.0,12.0,T,True,True,16.0,Moyen
87,Deception IV: Blood Ties,PS3,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,70.0,19.0,82.0,27.0,M,True,True,7.0,Moyen
88,Tecmo Bowl: Kickoff,DS,Sports,Tecmo Koei,0.11,0.0,0.0,0.01,0.11,66.0,21.0,73.0,8.0,E,True,True,13.0,Moyen
89,Naval Ops: Warship Gunner,PS2,Simulation,Tecmo Koei,0.05,0.04,0.0,0.01,0.11,67.0,17.0,89.0,23.0,T,True,True,18.0,Moyen
90,Samurai Warriors 4,PSV,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,76.0,5.0,86.0,18.0,T,True,True,7.0,Moyen
91,Dynasty Tactics 2,PS2,Strategy,Tecmo Koei,0.05,0.04,0.0,0.01,0.11,78.0,18.0,91.0,13.0,T,True,True,18.0,Moyen
92,Samurai Warriors 4: Empires,PS4,Action,Tecmo Koei,0.03,0.01,0.06,0.01,0.11,71.0,29.0,67.0,17.0,T,True,True,6.0,Moyen
93,Gallop Racer 2006,PS2,Sports,Tecmo Koei,0.02,0.02,0.06,0.01,0.1,69.0,15.0,83.0,8.0,E,True,True,16.0,Moyen
94,Monster Rancher EVO,PS2,Role-Playing,Tecmo Koei,0.02,0.02,0.05,0.01,0.1,58.0,16.0,68.0,8.0,E10+,True,True,16.0,Moyen
95,Opoona,Wii,Role-Playing,Tecmo Koei,0.08,0.0,0.01,0.01,0.1,65.0,33.0,77.0,14.0,E10+,True,True,14.0,Moyen
96,Prinny: Can I Really Be the Hero?,PSP,Platform,Tecmo Koei,0.03,0.0,0.05,0.01,0.1,72.0,45.0,70.0,41.0,T,True,True,13.0,Moyen
97,Arslan: The Warriors of Legend,PS4,Action,Tecmo Koei,0.03,0.01,0.05,0.01,0.1,69.0,43.0,66.0,23.0,T,True,True,6.0,Moyen
98,Bladestorm: The Hundred Years War,X360,Action,Tecmo Koei,0.08,0.01,0.0,0.01,0.09,63.0,26.0,68.0,16.0,T,True,True,14.0,Moyen
99,Romance of the Three Kingdoms X,PS2,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01,0.09,71.0,13.0,85.0,10.0,T,True,True,16.0,Moyen
100,Yaiba: Ninja Gaiden Z,PS3,Action,Tecmo Koei,0.05,0.03,0.0,0.02,0.09,43.0,46.0,45.0,84.0,M,True,True,7.0,Moyen
101,Quantum Theory,X360,Shooter,Tecmo Koei,0.06,0.02,0.0,0.01,0.09,37.0,39.0,38.0,33.0,M,True,True,11.0,Moyen
102,Mystic Heroes,GC,Action,Tecmo Koei,0.03,0.01,0.04,0.0,0.09,67.0,13.0,85.0,26.0,T,True,True,19.0,Moyen
103,Crimson Sea,X,Action,Tecmo Koei,0.04,0.01,0.04,0.0,0.09,78.0,19.0,82.0,10.0,T,True,True,19.0,Moyen
104,Nobunagas Ambition: Iron Triangle,PS2,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01,0.09,76.0,8.0,81.0,8.0,E10+,True,True,15.0,Moyen
105,Samurai Warriors 2: Xtreme Legends,PS2,Action,Tecmo Koei,0.04,0.03,0.0,0.01,0.09,50.0,11.0,80.0,9.0,T,True,True,14.0,Moyen
106,Warriors Orochi 3 Hyper,WiiU,Action,Tecmo Koei,0.04,0.02,0.02,0.01,0.08,64.0,18.0,74.0,31.0,T,True,True,9.0,Moyen
107,Nobunagas Ambition: Rise to Power,PS2,Strategy,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,70.0,7.0,88.0,6.0,T,True,True,17.0,Moyen
108,Samurai Warriors Chronicles 3,3DS,Action,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,63.0,13.0,61.0,10.0,T,True,True,7.0,Moyen
109,Samurai Warriors 2,X360,Action,Tecmo Koei,0.07,0.01,0.0,0.01,0.08,52.0,30.0,87.0,18.0,T,True,True,15.0,Moyen
110,P.T.O. IV: Pacific Theater of Operations,PS2,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01,0.08,71.0,12.0,66.0,5.0,E,True,True,19.0,Moyen
111,Kessen III,PS2,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01,0.07,73.0,26.0,81.0,20.0,T,True,True,17.0,Moyen
112,Romance of the Three Kingdoms XI,PS2,Strategy,Tecmo Koei,0.0,0.0,0.07,0.0,0.07,69.0,10.0,84.0,8.0,E10+,True,True,14.0,Moyen
113,Monster Racers,DS,Racing,Tecmo Koei,0.05,0.0,0.02,0.0,0.07,70.0,5.0,90.0,5.0,E,True,True,12.0,Moyen
114,Robocalypse,DS,Strategy,Tecmo Koei,0.07,0.0,0.0,0.01,0.07,78.0,15.0,86.0,18.0,E10+,True,True,13.0,Moyen
115,Nights of Azure,PS4,Action,Tecmo Koei,0.03,0.02,0.0,0.01,0.07,67.0,40.0,75.0,73.0,T,True,True,6.0,Moyen
116,Romance of the Three Kingdoms IX,PS2,Strategy,Tecmo Koei,0.03,0.03,0.0,0.01,0.07,74.0,17.0,89.0,10.0,E,True,True,18.0,Moyen
117,Samurai Warriors,X,Action,Tecmo Koei,0.05,0.02,0.0,0.0,0.07,71.0,20.0,90.0,5.0,T,True,True,17.0,Moyen
118,Crimson Sea 2,PS2,Action,Tecmo Koei,0.03,0.03,0.0,0.01,0.07,75.0,27.0,83.0,6.0,T,True,True,17.0,Moyen
119,Dynasty Warriors 8: Empires,XOne,Action,Tecmo Koei,0.04,0.02,0.0,0.01,0.07,58.0,10.0,68.0,15.0,T,True,True,7.0,Moyen
120,Colosseum: Road to Freedom,PS2,Role-Playing,Tecmo Koei,0.03,0.03,0.0,0.01,0.07,56.0,35.0,83.0,17.0,M,True,True,16.0,Moyen
121,Dragoneers Aria,PSP,Role-Playing,Tecmo Koei,0.02,0.0,0.05,0.0,0.07,56.0,30.0,60.0,7.0,E10+,True,True,14.0,Moyen
122,Samurai Warriors Chronicles 3,PSV,Action,Tecmo Koei,0.0,0.0,0.07,0.0,0.07,70.0,9.0,79.0,14.0,T,True,True,7.0,Moyen
123,Fist of the North Star: Kens Rage 2,X360,Fighting,Tecmo Koei,0.03,0.01,0.02,0.0,0.06,55.0,18.0,71.0,20.0,M,True,True,9.0,Moyen
124,Mystic Heroes,PS2,Action,Tecmo Koei,0.03,0.02,0.0,0.01,0.06,67.0,7.0,86.0,14.0,T,True,True,19.0,Moyen
125,Atelier Iris 2: The Azoth Of Destiny,PS2,Role-Playing,Tecmo Koei,0.03,0.02,0.0,0.01,0.06,68.0,34.0,78.0,14.0,E10+,True,True,16.0,Moyen
126,Trapt,PS2,Action,Tecmo Koei,0.03,0.02,0.0,0.01,0.06,60.0,36.0,79.0,14.0,M,True,True,16.0,Moyen
127,Bladestorm: Nightmare,XOne,Action,Tecmo Koei,0.04,0.02,0.0,0.01,0.06,48.0,6.0,71.0,8.0,T,True,True,6.0,Moyen
128,Fatal Frame,X,Action,Tecmo Koei,0.04,0.01,0.0,0.0,0.06,77.0,17.0,86.0,16.0,T,True,True,19.0,Moyen
129,Warriors Orochi 2,X360,Action,Tecmo Koei,0.04,0.0,0.01,0.0,0.06,44.0,28.0,81.0,15.0,T,True,True,13.0,Moyen
130,Warriors: Legends of Troy,X360,Action,Tecmo Koei,0.0,0.04,0.01,0.01,0.06,54.0,11.0,74.0,5.0,M,True,True,10.0,Moyen
131,Dynasty Warriors 5,X,Action,Tecmo Koei,0.04,0.01,0.0,0.0,0.05,66.0,22.0,80.0,4.0,T,True,True,16.0,Moyen
132,Yanya Caballista: City Skater,PS2,Sports,Tecmo Koei,0.02,0.02,0.0,0.01,0.05,58.0,13.0,63.0,7.0,E,True,True,20.0,Moyen
133,GrimGrimoire,PS2,Strategy,Tecmo Koei,0.01,0.01,0.03,0.0,0.05,79.0,39.0,79.0,17.0,E10+,True,True,14.0,Moyen
134,Dynasty Warriors Vol. 2,PSP,Action,Tecmo Koei,0.04,0.0,0.0,0.0,0.05,57.0,28.0,81.0,8.0,T,True,True,15.0,Moyen
135,Saiyuki: Journey West,PS,Strategy,Tecmo Koei,0.03,0.02,0.0,0.0,0.05,73.0,9.0,71.0,9.0,E,True,True,22.0,Moyen
136,Nobunagas Ambition: Sphere of Influence,PS4,Strategy,Tecmo Koei,0.04,0.0,0.0,0.01,0.05,80.0,20.0,81.0,47.0,T,True,True,7.0,Moyen
137,Yaiba: Ninja Gaiden Z,X360,Action,Tecmo Koei,0.03,0.01,0.0,0.0,0.05,50.0,20.0,53.0,43.0,M,True,True,7.0,Moyen
138,SPRay,Wii,Action,Tecmo Koei,0.04,0.0,0.0,0.0,0.04,42.0,16.0,45.0,6.0,E10+,True,True,13.0,Moyen
139,Samurai Warriors 2: Empires,X360,Action,Tecmo Koei,0.03,0.0,0.01,0.0,0.04,53.0,29.0,86.0,14.0,T,True,True,14.0,Moyen
140,Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,Role-Playing,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,79.0,10.0,75.0,4.0,T,True,True,5.0,Moyen
141,Warship Gunner 2,PS2,Simulation,Tecmo Koei,0.01,0.01,0.0,0.0,0.03,62.0,13.0,85.0,11.0,T,True,True,15.0,Moyen
142,Dynasty Warriors 8: Empires,PSV,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,70.0,15.0,74.0,9.0,T,True,True,6.0,Moyen
143,Fist of the North Star: Kens Rage 2,WiiU,Fighting,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,40.0,4.0,58.0,18.0,M,True,True,8.0,Moyen
144,Monster Rancher Advance 2,GBA,Simulation,Tecmo Koei,0.01,0.0,0.0,0.0,0.01,79.0,5.0,94.0,9.0,E,True,True,19.0,Moyen
145,Deception IV: The Nightmare Princess,PSV,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.01,73.0,4.0,89.0,10.0,M,True,True,6.0,Moyen
146,Tetris DS,DS,Puzzle,Nintendo,0.63,0.05,1.35,0.08,2.1,84.0,56.0,87.0,44.0,E,True,True,15.0,Très grand
147,Mario Party 5,GC,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08,69.0,33.0,82.0,59.0,E,True,True,18.0,Très grand
148,Mario Sports Mix,Wii,Sports,Nintendo,0.88,0.44,0.63,0.12,2.08,64.0,54.0,71.0,34.0,E,True,True,11.0,Très grand
149,Kirby Squeak Squad,DS,Platform,Nintendo,0.78,0.02,1.05,0.08,1.94,71.0,29.0,80.0,43.0,E,True,True,15.0,Très grand
150,Kirby: Triple Deluxe,3DS,Platform,Nintendo,0.61,0.34,0.79,0.09,1.84,80.0,68.0,89.0,207.0,E,True,True,7.0,Très grand
151,Golden Sun,GBA,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76,91.0,29.0,93.0,198.0,E,True,True,20.0,Très grand
152,Dragon Quest VI: Realms of Revelation,DS,Role-Playing,Nintendo,0.2,0.15,1.35,0.03,1.74,78.0,41.0,82.0,32.0,T,True,True,11.0,Très grand
153,Kirbys Return to Dreamland,Wii,Platform,Nintendo,0.58,0.21,0.79,0.07,1.65,77.0,49.0,85.0,158.0,E10+,True,True,10.0,Très grand
154,Mario Party 6,GC,Misc,Nintendo,0.9,0.11,0.6,0.05,1.65,71.0,33.0,79.0,53.0,E,True,True,17.0,Très grand
155,Pikmin,GC,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.63,89.0,39.0,87.0,123.0,E,True,True,20.0,Très grand
156,Pokemon Battle Revolution,Wii,Role-Playing,Nintendo,0.78,0.37,0.3,0.13,1.59,53.0,34.0,67.0,106.0,E,True,True,15.0,Très grand
157,Mario Party 7,GC,Misc,Nintendo,0.95,0.11,0.46,0.04,1.57,64.0,25.0,79.0,55.0,E,True,True,16.0,Très grand
158,Pokemon Mystery Dungeon: Explorers of Sky,DS,Role-Playing,Nintendo,0.57,0.43,0.44,0.12,1.56,54.0,26.0,90.0,134.0,E,True,True,12.0,Très grand
159,Final Fantasy: Crystal Chronicles,GC,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,1.49,80.0,55.0,81.0,94.0,T,True,True,18.0,Très grand
160,Mario Superstar Baseball,GC,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46,76.0,38.0,86.0,41.0,E,True,True,16.0,Très grand
161,Classic NES Series: Super Mario Bros.,GBA,Platform,Nintendo,0.0,0.0,1.39,0.03,1.43,84.0,14.0,86.0,44.0,E,True,True,17.0,Très grand
162,The Legend of Zelda: The Minish Cap,GBA,Action,Nintendo,0.89,0.22,0.22,0.1,1.42,89.0,56.0,90.0,207.0,E,True,True,17.0,Très grand
163,Donkey Kong Jungle Beat,GC,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,80.0,49.0,83.0,32.0,E10+,True,True,17.0,Très grand
164,Metroid Prime 2: Echoes,GC,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,92.0,60.0,88.0,281.0,T,True,True,17.0,Très grand
